		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
MV_est447	Number of eating and drinking places	-0.0189***	-0.0141***	-0.0121***	-0.0120***	-0.0117***	-0.0111***	-0.0105***	-0.0115***	-0.0092***	-0.0110***
		(0.0022)	(0.0019)	(0.0018)	(0.0017)	(0.0011)	(0.0013)	(0.0009)	(0.0009)	(0.0010)	(0.0017)
school_quality	Proficiency rate of 4th-8th grade public school students	0.2216***	0.2836***	0.2624***	0.2719***	0.3230***	0.3648***	0.3371***	0.2879***	0.2470***	0.3538***
		(0.0694)	(0.0518)	(0.0413)	(0.0355)	(0.0420)	(0.0541)	(0.0457)	(0.0514)	(0.0311)	(0.0711)
Constant	Constant	2.3224	2.2120	3.6807**	5.3745***	6.5241***	6.2439***	9.2071***	11.5298***	12.6235***	12.7537***
		(2.1460)	(1.5782)	(1.8488)	(1.7605)	(1.5722)	(1.6858)	(1.7590)	(1.6703)	(1.5592)	(2.0381)
											
Observations		2,504	3,089	3,199	3,327	3,400	3,423	3,448	3,490	3,564	3,614
Adjusted R-squared		0.7843	0.8111	0.8503	0.8619	0.8679	0.8803	0.8917	0.8939	0.9050	0.8927
Robust standard errors in parentheses											
*** p<0.01, ** p<0.05, * p<0.1											
